date,description,amount,type
2026-04-01,Salary Credit - TechCorp Solutions,125000.0,credit
2026-04-03,Amazon India,2126.0,debit
2026-04-03,Instamart Mart,1814.0,debit
2026-04-04,Uniqlo Store,3063.0,debit
2026-04-04,Swiggy Order,638.0,debit
2026-04-04,Blinkit Grocery,3133.0,debit
2026-04-05,HDFC Bank Rent Auto-Debit,35000.0,debit
2026-04-06,Nature's Basket,2628.0,debit
2026-04-08,Swiggy Order,471.0,debit
2026-04-08,Blinkit Grocery,1283.0,debit
2026-04-08,Shell Fuel Station,685.0,debit
2026-04-08,Netflix Subscription,649.0,debit
2026-04-09,Ola Cabs,1293.0,debit
2026-04-10,BESCOM Electricity Bill,2225.0,debit
2026-04-10,Instamart Mart,2969.0,debit
2026-04-10,Ola Cabs,755.0,debit
2026-04-11,Apollo Pharmacy,1893.0,debit
2026-04-12,Nature's Basket,1714.0,debit
2026-04-12,Spotify Premium AutoPay,119.0,debit
2026-04-13,Zomato Restaurant,763.0,debit
2026-04-14,Shell Fuel Station,385.0,debit
2026-04-14,Third Wave Coffee,684.0,debit
2026-04-15,Client Payout - Upwork Escrow,22000.0,credit
2026-04-15,Cult.fit Gym Membership,1750.0,debit
2026-04-15,Namma Metro Recharge,991.0,debit
2026-04-15,Instamart Mart,2739.0,debit
2026-04-16,Namma Metro Recharge,802.0,debit
2026-04-17,Blinkit Grocery,1553.0,debit
2026-04-17,Amazon India,4595.0,debit
2026-04-17,Airtel Xstream Broadband,1179.0,debit
2026-04-19,Blue Tokai Coffee,700.0,debit
2026-04-19,Zepto Supermarket,2038.0,debit
2026-04-19,Zomato Restaurant,650.0,debit
2026-04-20,Practo Consultation,2074.0,debit
2026-04-20,Google One Storage,210.0,debit
2026-04-20,Instamart Mart,2278.0,debit
2026-04-21,Social Bar & Kitchen,770.0,debit
2026-04-21,Uniqlo Store,3667.0,debit
2026-04-21,Zomato Restaurant,1050.0,debit
2026-04-22,Blinkit Grocery,2456.0,debit
2026-04-22,Namma Metro Recharge,1060.0,debit
2026-04-22,Namma Metro Recharge,542.0,debit
2026-04-22,Ola Cabs,914.0,debit
2026-04-22,Myntra Fashion,4744.0,debit
2026-04-22,Zomato Restaurant,773.0,debit
2026-04-23,Starbucks Coffee,633.0,debit
2026-04-23,Swiggy Order,1063.0,debit
2026-04-23,Blue Tokai Coffee,673.0,debit
2026-04-23,Uniqlo Store,3942.0,debit
2026-04-24,Zepto Supermarket,2308.0,debit
2026-04-25,Shell Fuel Station,1447.0,debit
